홈팀,홈팀 점수,원정팀,원정팀 점수,상태,시간,장소,is_today,경기 날짜
NC,,SSG,,취소,18:30,창원,False,4월 1일 (화)
NC,,SSG,,취소,18:30,창원,True,4월 2일 (수)
NC,,SSG,,취소,18:30,창원,False,4월 3일 (목)
SSG,,KT,,예정,18:30,문학,False,4월 4일 (금)
SSG,,KT,,예정,17:00,문학,False,4월 5일 (토)
SSG,,KT,,예정,14:00,문학,False,4월 6일 (일)
삼성,,SSG,,예정,18:30,대구,False,4월 8일 (화)
삼성,,SSG,,예정,18:30,대구,False,4월 9일 (수)
삼성,,SSG,,예정,18:30,대구,False,4월 10일 (목)
KIA,,SSG,,예정,18:30,광주,False,4월 11일 (금)
KIA,,SSG,,예정,17:00,광주,False,4월 12일 (토)
KIA,,SSG,,예정,14:00,광주,False,4월 13일 (일)
SSG,,한화,,예정,18:30,문학,False,4월 15일 (화)
SSG,,한화,,예정,18:30,문학,False,4월 16일 (수)
SSG,,한화,,예정,18:30,문학,False,4월 17일 (목)
SSG,,LG,,예정,18:30,문학,False,4월 18일 (금)
SSG,,LG,,예정,17:00,문학,False,4월 19일 (토)
SSG,,LG,,예정,14:00,문학,False,4월 20일 (일)
KT,,SSG,,예정,18:30,수원,False,4월 22일 (화)
KT,,SSG,,예정,18:30,수원,False,4월 23일 (수)
KT,,SSG,,예정,18:30,수원,False,4월 24일 (목)
SSG,,키움,,예정,18:30,문학,False,4월 25일 (금)
SSG,,키움,,예정,17:00,문학,False,4월 26일 (토)
SSG,,키움,,예정,14:00,문학,False,4월 27일 (일)
SSG,,삼성,,예정,18:30,문학,False,4월 29일 (화)
SSG,,삼성,,예정,18:30,문학,False,4월 30일 (수)
